"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
         46,           0,           0,           4.3e-06,             1e-07,      -2.155913397,       1.231393365,       1.428355761,       3.283924105,       1.942701791,       3.804351724
         46,           0,          10,           4.3e-06,             1e-07,      -2.468534775,       1.229738901,       1.429962654,       3.098112989,      0.5287650361,       3.615535904
         46,           0,          20,           4.3e-06,             1e-07,      -2.455252893,       1.238515181,       1.437799469,       3.108680703,       0.517536417,       3.627265351
         46,           0,          29,           4.3e-06,             1e-07,      -2.472514317,        1.25690311,       1.451380968,       3.087492668,       0.521225647,       3.642334575
         47,           0,           0,           4.4e-06,             1e-07,      -2.148044204,       1.251653989,       1.446021005,       3.296561593,       1.942986737,       3.819923813
         47,           0,          10,           4.4e-06,             1e-07,      -2.443616712,       1.248444993,       1.446924559,       3.120335552,      0.5499701152,       3.653934057
         47,           0,          20,           4.4e-06,             1e-07,      -2.433154814,       1.256166301,       1.453447239,       3.127959655,      0.5387773216,       3.663622015
         47,           0,          29,           4.4e-06,             1e-07,       -2.45415213,       1.272964633,       1.465713096,       3.102548154,      0.5413483362,       3.676513547
         48,           0,           0,           4.5e-06,             1e-07,      -2.140895236,       1.269054704,       1.461127798,         3.3077669,       1.943350362,         3.8404628
         48,           0,          10,           4.5e-06,             1e-07,      -2.428041865,       1.259489931,        1.45669744,       3.134425673,      0.5680477434,       3.690690793
         48,           0,          20,           4.5e-06,             1e-07,      -2.424557574,       1.259591595,       1.456075622,       3.136380261,      0.5496250901,       3.690163708
         48,           0,          29,           4.5e-06,             1e-07,      -2.456131878,       1.270012007,       1.462554122,        3.10087697,      0.5400880315,       3.687756716
         49,           0,           0,           4.6e-06,             1e-07,      -2.138460245,       1.271847602,       1.462739388,       3.313078412,       1.943771792,       3.853370389
         49,           0,          10,           4.6e-06,             1e-07,      -2.431028227,       1.258853646,       1.455161768,       3.128081616,      0.5832988181,       3.714324223
         49,           0,          20,           4.6e-06,             1e-07,      -2.430930507,       1.254464696,       1.450666809,       3.128681294,      0.5651620706,       3.714233396
         49,           0,          29,           4.6e-06,             1e-07,      -2.467020872,       1.258374891,       1.451309034,       3.086995335,      0.5481767235,       3.702099904
         50,           0,           0,           4.7e-06,             1e-07,      -2.142191071,        1.26301223,       1.453711395,       3.309738017,       1.944250504,       3.856017313
         50,           0,          10,           4.7e-06,             1e-07,      -2.445866329,       1.245180041,        1.44302409,       3.113382621,      0.5717781098,       3.710497919
         50,           0,          20,           4.7e-06,             1e-07,      -2.452567005,       1.237704621,       1.435551594,       3.104581552,      0.5400176952,       3.690715856
         50,           0,          29,           4.7e-06,             1e-07,      -2.488523015,       1.239642539,       1.434797488,         3.0640002,      0.5255953289,       3.681120088
         51,           0,           0,           4.8e-06,             1e-07,      -2.148247724,       1.246124044,       1.437949326,       3.303051594,       1.944751717,       3.839961845
         51,           0,          10,           4.8e-06,             1e-07,      -2.472039931,       1.228269212,       1.427595158,       3.081150246,      0.5369172965,       3.673234028
         51,           0,          20,           4.8e-06,             1e-07,      -2.476415195,       1.222832846,       1.422281112,       3.075787923,      0.5175532819,       3.670169768
         51,           0,          29,           4.8e-06,             1e-07,      -2.509648812,       1.225591369,       1.422422587,       3.036476277,      0.5104246841,       3.669904608
