"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         216,      -2.213501539,      0.5304097036,      0.1751269638,       3.171934992,      -1.096295929,        4.64942788
          0,           0,         217,       -2.21641026,      0.5302010531,      0.1757299111,       3.166665913,      -1.099513266,       4.644493396
          0,           0,         218,      -2.219060669,       0.530165047,      0.1762625595,       3.161646449,      -1.102713183,       4.639552506
          0,           0,         219,      -2.221446822,      0.5302931734,      0.1767254649,       3.156891652,      -1.105899883,       4.634806355
          0,           0,         220,        -2.2235646,      0.5305785486,      0.1771186322,       3.152414524,      -1.109070275,       4.629993692
          0,           0,         221,      -2.225410324,      0.5310148639,      0.1774427805,       3.148227938,      -1.112221877,       4.625384542
          0,           0,         222,      -2.226982072,      0.5315919937,       0.177698502,        3.14434316,      -1.115350989,       4.620834486
          0,           0,         223,      -2.228278483,      0.5323051187,      0.1778860575,       3.140770875,      -1.118458931,       4.615999789
          0,           0,         224,      -2.229299811,      0.5331429792,      0.1780060498,       3.137520078,       -1.12155221,       4.610736715
          0,           0,         225,      -2.230047903,      0.5340993885,      0.1780582983,       3.134597394,      -1.124622565,       4.605786958
          0,           0,         226,      -2.230524927,      0.5351646566,      0.1780430086,       3.132009167,      -1.127671712,       4.600760417
          0,           0,         227,      -2.230733622,      0.5363307993,       0.177960251,       3.129761202,      -1.130710509,       4.596059025
          0,           0,         228,      -2.230678541,      0.5375903578,       0.177809503,       3.127856551,      -1.133727693,       4.591305448
          0,           0,         229,       -2.23036384,       0.538933507,      0.1775908781,       3.126298401,      -1.136732369,       4.586660279
          0,           0,         230,      -2.229796185,      0.5403545731,      0.1773030804,       3.125086279,      -1.139719546,       4.581292014
          0,           0,         231,      -2.228981325,       0.541842753,      0.1769453626,       3.124220483,      -1.142681696,       4.576357312
          0,           0,         232,      -2.227925513,      0.5433932324,       0.176516296,       3.123700206,      -1.145624397,       4.571302904
          0,           0,         233,      -2.226637369,      0.5449963114,      0.1760143136,       3.123520721,      -1.148537575,       4.566692265
          0,           0,         234,      -2.225123578,      0.5466453387,      0.1754380618,       3.123679589,      -1.151425538,       4.562063201
          0,           0,         235,      -2.223391455,      0.5483354657,      0.1747848494,       3.124172414,        -1.1542876,        4.55713498
          0,           0,         236,      -2.221450988,      0.5500555014,      0.1740527611,       3.124990732,      -1.157114681,       4.551922871
          0,           0,         237,      -2.219309725,      0.5518044558,      0.1732387573,       3.126128373,      -1.159905896,       4.547231208
          0,           0,         238,      -2.216976238,      0.5535721764,      0.1723404677,       3.127577064,      -1.162680354,       4.542458696
          0,           0,         239,      -2.214459911,      0.5553547103,      0.1713540143,        3.12932791,      -1.165434188,       4.538248322
          0,           0,         240,      -2.211771942,      0.5571465167,      0.1702764282,       3.131367554,      -1.168145653,       4.533245475
          0,           0,         241,      -2.208920387,      0.5589400817,      0.1691044937,       3.133687066,      -1.170820611,       4.528532739
          0,           0,         242,      -2.205916021,      0.5607334082,      0.1678337202,       3.136272375,       -1.17343537,       4.523881674
          0,           0,         243,      -2.202767511,       0.562520252,      0.1664608977,       3.139111328,      -1.176007672,        4.51964772
