"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         175,      -1.815668847,      0.9485431244,       0.652513454,       3.672874306,       2.292626047,        4.68102425
          0,           0,         176,      -1.819789723,      0.9449864515,      0.6480548613,       3.668939473,       2.293188939,       4.680561976
          0,           0,         177,      -1.824030237,      0.9413833188,      0.6433685038,       3.664893064,        2.29376929,       4.679991406
          0,           0,         178,       -1.82841366,      0.9376962308,      0.6384852592,       3.660713589,       2.294366837,       4.679318821
          0,           0,         179,      -1.832954797,      0.9339069509,      0.6335160557,       3.656377509,       2.294956839,       4.678551517
          0,           0,         180,      -1.837640232,      0.9300104613,      0.6284947266,       3.651937106,       2.295541602,       4.677673552
          0,           0,         181,      -1.842412654,      0.9261363017,      0.6230787647,       3.647435473,       2.296140958,       4.676689575
          0,           0,         182,      -1.847240428,      0.9223004312,      0.6174256267,       3.642900646,       2.296716414,       4.675594774
          0,           0,         183,      -1.852114589,      0.9184483397,      0.6116611139,       3.638360675,       2.297307813,       4.674407473
          0,           0,         184,      -1.857036844,      0.9145561435,      0.6057870672,       3.633776938,        2.29791378,       4.673121936
          0,           0,         185,      -1.862042387,      0.9106312298,      0.5995833423,       3.629101467,       2.298535057,       4.671744218
          0,           0,         186,       -1.86705744,      0.9067322418,      0.5931139595,       3.624436884,       2.299168154,       4.670277595
          0,           0,         187,      -1.872006572,      0.9029603925,      0.5865306919,        3.61987147,       2.299816881,       4.668721944
          0,           0,         188,      -1.876895315,      0.8992783837,      0.5798991629,       3.615401756,       2.300479857,       4.667081808
          0,           0,         189,      -1.881657489,      0.8957404405,       0.573029871,       3.611105826,       2.301157847,       4.665272622
          0,           0,         190,      -1.886286735,      0.8922962796,      0.5661543628,       3.606978347,       2.301850508,       4.663162086
          0,           0,         191,      -1.890764987,      0.8889722312,      0.5593648468,       3.603017179,        2.30256111,       4.660466288
          0,           0,         192,      -1.895075888,      0.8858025402,        0.55269146,       3.599215804,        2.30329672,       4.657590337
          0,           0,         193,      -1.899164892,      0.8828088587,      0.5460880404,        3.59564809,       2.304010057,       4.654568833
          0,           0,         194,      -1.903082207,      0.8798738926,      0.5396489423,       3.592237892,       2.304729494,       4.651415201
          0,           0,         195,      -1.906870701,      0.8769817804,      0.5336991183,       3.588918763,       2.305470467,       4.648107032
          0,           0,         196,      -1.910439593,      0.8741985396,      0.5279616052,       3.585810961,       2.306232147,       4.644656317
          0,           0,         197,      -1.913864736,      0.8715127137,      0.5224703717,       3.582896199,       2.307014675,       4.641082967
          0,           0,         198,      -1.917092359,      0.8688879373,      0.5174877484,        3.58013593,       2.307820575,       4.635932241
          0,           0,         199,      -1.920162327,      0.8662603274,      0.5131171372,       3.577402351,        2.30865486,       4.630120965
          0,           0,         200,      -1.923134108,       0.863676976,      0.5087481158,       3.574693517,       2.309512802,       4.623901969
          0,           0,         201,      -1.926042723,      0.8610653189,      0.5045399549,       3.571991322,       2.310403834,       4.617597161
          0,           0,         202,      -1.928957472,      0.8583661315,       0.500636271,       3.569238961,       2.311332472,       4.611226295
          0,           0,         203,      -1.931915473,      0.8556205865,      0.4968949063,       3.566450354,       2.312302768,       4.605467916
          0,           0,         204,        -1.9348097,       0.852941518,      0.4932439282,       3.563662195,       2.313319461,       4.600595821
          0,           0,         205,       -1.93786677,      0.8500707393,      0.4895269066,       3.560696731,       2.314389966,        4.59702975
          0,           0,         206,      -1.941110007,      0.8470262287,      0.4856427204,       3.557549992,       2.315518983,       4.595010113
          0,           0,         207,      -1.944427402,      0.8439913809,      0.4818910377,       3.554373511,       2.316710057,       4.594516336
          0,           0,         208,      -1.947978177,      0.8407856411,      0.4780936378,       3.550989055,        2.31797311,       4.595551425
          0,           0,         209,      -1.951890565,      0.8371369952,      0.4743289883,       3.547242949,       2.319320387,       4.597980817
          0,           0,         210,      -1.955983193,      0.8333273426,      0.4706985812,       3.543294695,       2.320740927,       4.601380886
          0,           0,         211,      -1.960071673,      0.8295463126,       0.466903604,       3.539316007,       2.322059856,       4.605381153
          0,           0,         212,      -1.964430867,       0.825551553,      0.4626176831,       3.535096758,        2.32345042,       4.609508326
          0,           0,         213,      -1.969127048,      0.8213335518,      0.4576068971,       3.530592816,       2.324918068,        4.61298976
          0,           0,         214,      -1.974088038,      0.8169208421,      0.4522328556,       3.525800914,       2.326583958,       4.615058353
          0,           0,         215,      -1.979309091,      0.8121557132,      0.4468187387,       3.520728869,       2.328327951,       4.613893189
          0,           0,         216,      -1.984878363,      0.8069472382,      0.4406399526,         3.5152597,       2.330157847,       4.612235991
          0,           0,         217,      -1.991109369,      0.8010349523,      0.4338126838,        3.50904595,       2.332168603,       4.610020552
          0,           0,         218,      -1.997657776,      0.7946098166,      0.4262661334,       3.502395129,       2.334426909,       4.607122166
          0,           0,         219,      -2.004739759,      0.7877747366,      0.4180938796,       3.495199925,        2.33675181,       4.603172636
          0,           0,         220,      -2.011650669,      0.7806610176,      0.4096304834,       3.488098312,       2.338688925,       4.598746294
          0,           0,         221,      -2.018501462,      0.7733578496,      0.4012405787,       3.481078673,       2.340765895,       4.594956852
          0,           0,         222,      -2.025402197,      0.7656868405,      0.3935015883,       3.474048756,       2.342901812,       4.594715963
          0,           0,         223,      -2.032362035,      0.7574324439,      0.3848894278,       3.467003799,        2.34499894,       4.592711683
          0,           0,         224,      -2.040565335,      0.7485456358,      0.3768794313,       3.458727665,       2.346950308,       4.587654779
          0,           0,         225,      -2.048586062,      0.7393487843,      0.3676014968,       3.450677571,       2.348907098,       4.572269308
          0,           0,         226,      -2.057308245,      0.7297596894,      0.3588881565,       3.441955044,       2.350851442,       4.558360883
          0,           0,         227,       -2.06630815,      0.7195770504,      0.3494971536,       3.432907863,       2.352835153,       4.550749253
          0,           0,         228,      -2.075560346,      0.7088657841,      0.3398380428,       3.423392807,       2.354874789,       4.549732334
          0,           0,         229,      -2.085396997,      0.6976301148,      0.3296694489,       3.413281327,       2.356426411,       4.549716325
          0,           0,         230,      -2.095305501,      0.6856700524,      0.3197999785,       3.402995665,       2.357677939,       4.548028009
          0,           0,         231,      -2.105151114,      0.6735253854,      0.3096261628,       3.392668818,       2.358680228,       4.563663402
          0,           0,         232,      -2.115170225,      0.6613431436,      0.2995368713,       3.382048231,       2.359193028,       4.579701405
          0,           0,         233,      -2.125630592,      0.6485103427,       0.294268589,       3.370849821,       2.359450017,       4.607679973
          0,           0,         234,      -2.135502781,       0.636930725,      0.3063513233,       3.360147686,       2.359489188,       4.615421056
          0,           0,         235,      -2.145121617,      0.6291035625,      0.3746235091,       3.349731061,       2.359384115,       4.610861731
          0,           0,         236,      -2.152660912,      0.6398989407,      0.5477192315,       3.341547606,       2.359232473,       4.610707763
          0,           0,         237,      -2.154226947,      0.7077023504,      0.8116729124,       3.340538247,       2.359164332,       4.616421213
          0,           0,         238,      -2.140858742,       0.862792731,       1.084134235,       3.355270641,       2.359348175,       4.628346784
          0,           0,         239,       -2.08657814,       1.005190092,          1.274049,       3.415293263,        2.36001511,       4.638203542
          0,           0,         240,      -1.883512076,        1.16966306,       1.390613672,        3.64910601,       2.361322316,       4.651499843
          0,           0,         241,      -1.867160513,       1.229489003,       1.486255141,       3.657366377,       2.363430226,       4.674993747
          0,           0,         242,      -1.763251047,       1.264581305,       1.487663783,       3.769168097,       2.366646874,       4.698071912
          0,           0,         243,      -1.664372877,       1.313517789,       1.509986429,       3.840054144,       2.370989427,       4.699527388
          0,           0,         244,      -1.690302559,       1.271355155,       1.505505563,       3.836323602,       2.376816673,       4.700892069
          0,           0,         245,      -1.694641022,       1.303987344,       1.574933828,       3.825172297,       2.384123719,       4.712779152
          0,           0,         246,      -1.603290934,       1.363421996,       1.573709796,       3.908317933,       2.392776327,       4.714618379
          0,           0,         247,      -1.585776563,       1.357865212,       1.568267401,       3.912644064,       2.401503941,        4.69281473
          0,           0,         248,       -1.60985603,       1.369877982,       1.597030522,       3.893029124,       2.410941266,       4.709669079
          0,           0,         249,      -1.584425992,       1.389408057,       1.602322675,       3.921761783,         2.4193233,       4.707068791
          0,           0,         250,      -1.564960107,       1.368564229,        1.57201194,       3.936664145,       2.428175513,       4.693475678
          0,           0,         251,      -1.521204312,       1.395480406,       1.558752506,       3.976208659,       2.434913949,       4.673146238
          0,           0,         252,      -1.570988651,       1.381201579,       1.603880302,       3.935349486,       2.440361866,       4.666730123
          0,           0,         253,       -1.57126606,       1.409806775,       1.644943538,       3.926948538,       2.445816859,       4.696092382
